NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(mcg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vit_B6_(mg),Vit_B12_(mcg),Vit_A_IU,Vit_A_RAE,Vit_E_(mg),Vit_D_mcg,Vit_D_IU,Vit_K_(mcg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
03818,INF FORM ME JOHNS ENFAM LIP LO IRON LIQ CONC W/ ARA & DHA,75.32,131,2.76,7.16,0.72,14.24,0,14.24,102,0.92,11,70,142,39,1.31,0.098,,3.6,15.8,0.105,0.184,1.313,0.079,0.39,394,118,1.22,2,79,10,3.078,2.659,1.419,2
03819,CHILD FORMULA MEAD JOHNSON PORTAGEN W/ IRON PDR NOT RECON,3,483,16.5,22,3.7,54.8,0,54,440,8.8,98,330,590,260,4.4,0.74,,0,38,0.74,0.88,9.8,0.98,2.9,3700,1110,9.8,9.3,370,74,19.186,0.683,1.609,4
03820,CHILD FORMULA MEAD JOHNSON PORTAGEN W/ IRON PREP FROM PDR,82.86,88,3.33,4.48,0.76,8.57,0,7.4,88,1.75,19,66,118,52,0.88,0.148,,0,7.6,0.148,0.176,1.944,0.194,0.57,740,222,2,1.6,65,15.1,3.953,0.143,0.333,1
03821,INF FORMULA. MEAD JOHNSON  PREGESTIMIL  W/IRON  PDR NO RECON,2,519,14,28,3.2,52.8,0,51,580,9.4,55,380,550,240,5,0.38,,14,60,0.4,0.45,5,0.3,1.5,1900,570,13.4,7,278,60,16.8,4.6,6.5,2
03822,INF FORMULA  MEAD JOHNSON  PREGESTIMIL  W/IRON  PREP FRO PDR,87.5,67,1.82,3.65,0.41,6.63,0,6.63,75,1.17,7,49,71,31,0.65,0.049,,1.8,7.8,0.052,0.059,0.654,0.039,0.19,250,75,1.74,0.9,35,7.8,2.172,0.583,0.809,0
03823,INF FORMULA MEAD JOHNSON PROSOBEE W/ IRON RTF,88.35,63,1.64,3.5,0.4,6.11,0,6.11,69,1.18,7,54,79,23,0.79,0.05,,1.8,7.9,0.052,0.059,0.66,0.04,0.19,194,58,0.87,1,40,5.2,1.443,1.292,0.651,0
03824,INF FORMULA  MEAD JOHNSON  PROSOBEE W/IRON  LIQ CNC  NOT REC,75.47,131,3.19,7.13,0.77,13.58,0,13.58,134,2.3,14,106,153,45,1.53,0.096,,3.6,15.3,0.102,0.115,1.28,0.077,0.38,377,113,1.7,1.9,77,10.2,3.038,2.72,1.371,0
03825,INF FOR ME JOHN ENFAM LIPIL LO IRON READY TO FE W/ ARA & DHA,88.35,64,1.38,3.5,0.32,7.18,0,7.18,51,0.46,5,35,71,18,0.66,0.05,0.01,1.8,7.9,0.052,0.092,0.66,0.04,0.19,194,58,0.87,1,40,5.2,1.453,1.255,0.67,1
03826,INF FORMULA MEAD JOHNSON ENFAMIL PROSOBEE IRON PDR NOT RECON,3,510,12.5,27,3.2,54.3,0,53,530,9,55,420,600,180,6,0.38,,14,60,0.4,0.45,5,0.3,1.5,1500,450,6.7,7.5,300,40,11.37,10.32,5.2,0
03827,INF FORMULA  ME JOHN  ENFA  LACF LIP  W/IRO  POW  W/AR AN DH,2.2,521,10.9,28,2.6,56.3,0,54.77,430,9.4,42,290,570,156,5.2,0.39,,14.6,62,0.42,0.73,5.2,0.31,1.56,1567,470,4.7,7.8,310,42,11.9,10.4,5.5,7
03830,INF FORMU  ME JOH  ENF  LAC  LI  W/ IR LI CO N RE W/ AR & DH,75.47,132,2.68,7.11,0.64,14.42,0,13.96,104,2.3,10,70,140,38,1.28,0.096,,3.6,15.3,0.102,0.179,1.283,0.077,0.38,377,113,1.7,1.9,77,10.2,3.059,2.642,1.411,2
03832,INF FORMULA MEAD JOHNSON ENFAMIL LIPIL RTF W/ ARA & DHA,88.35,66,1.38,3.5,0.33,6.44,0,6.44,54,1.18,5,36,72,19,0.66,0.05,,1.8,7.9,0.052,0.092,0.66,0.04,0.19,194,58,0.87,1,40,5.2,1.453,1.255,0.67,1
03837,INF FORMULA  ABBOTT NUTR  SIMILAC  PM 60/40  PDR NOT RECON,2.25,524,11.4,28.71,2.7,54.94,0,52.38,288,1.13,31,144,411,123,3.85,0.462,0.026,9.8,46.2,0.514,0.77,5.392,0.308,1.28,1541,462,8.61,7.7,308,41.1,12.214,5.242,10.835,17
03838,INF FOR ME JOH ENF NUTR LIPIL W/ IRO PDR NOT RE W/ ARA & DHA,3.4,494,13.9,26,5.2,51,0,51,470,8.9,55,310,550,230,5,0.37,0.124,13.9,60,0.4,0.45,5,0.3,1.49,1500,450,6.6,6.3,250,40,10.99,9.63,5.18,0
03839,INF FORMULA  ABB NUT SIMI NAT CA AD RTF W/ ARA & DHA,85.07,78,2.12,4.24,0.75,8.2,0,8.2,163,0.29,9,91,101,34,1.17,0.195,0.009,1.4,28.9,0.195,0.484,3.902,0.195,0.43,973,292,2.09,2.9,117,9.4,2.544,0.402,0.842,2
03840,INF FORMULA  AB NUT  SIM  SP CA  ADV 24 W/ IR  RT W/ AR & DH,85.61,71,1.8,3.26,0.6,8.73,0,8.3,141,1.41,9,79,101,34,1.18,0.196,0.009,1.4,29.1,0.196,0.487,3.927,0.196,0.43,982,294,2.11,2.7,106,9.4,2.12,0.324,0.737,2
03841,INF FORMULA  ABBO NUTR  SIMIL ISOMI W/ IRON RTF,87.54,66,1.61,3.59,0.66,6.7,0,6.7,69,1.18,5,49,71,29,0.49,0.049,0.016,1.4,5.9,0.039,0.059,0.887,0.039,0.3,197,59,1.32,1,39,7.2,1.166,1.371,0.838,0
03842,INF FORMULA  ABBOTT NUTR  SIMILAC  ISOMIL W/ IRON LIQ CONC,75.81,128,3.13,6.98,0.88,13.21,0,13.1,134,2.3,10,96,138,56,0.96,0.096,0.032,2.7,11.5,0.077,0.115,1.725,0.077,0.58,380,114,1.2,1.9,77,14.1,2.262,2.66,1.625,0
03843,INF FORMULA  ABBO NUTR  SIMILA  ISOMI  W/ IRON PDR NOT RECON,2.5,517,12.6,28.09,3.24,53.57,0,52.97,540,9.26,39,386,555,226,3.86,0.386,0.129,10.8,46.3,0.309,0.463,6.943,0.309,2.31,1543,462,5.1,7.7,309,56.6,9.167,10.778,6.584,0
03844,INF FO ME JO ENF NUTR LIPIL W/ IR LIQ CO NOT RE W/ ARA & DHA,75.7,126,3.53,6.73,0.92,13.12,0,9.87,123,2.28,14,80,138,60,1.27,0.095,,3.5,15.1,0.101,0.114,1.271,0.077,0.37,374,112,1.68,1.6,64,10.1,2.798,2.486,1.327,0
03845,INF FORMU ME JOHNS ENFAM NUTRA LIPI W/ IRO RTF W/ ARA & DHA,87.38,66,1.83,3.5,0.48,6.81,0,5.13,62,1.18,7,42,72,31,0.66,0.05,,1.8,7.9,0.052,0.059,0.66,0.04,0.19,193,58,0.87,0.8,33,5.2,1.453,1.255,0.67,0
03846,INF FORMULA  ABBOTT NUTR  SIMILAC  ALIMENTUM  W/ IRON RTF,87.32,66,1.8,3.63,0.48,6.77,0,4.4,69,1.18,5,49,77,29,0.49,0.049,0.006,1.2,5.9,0.039,0.059,0.885,0.039,0.3,197,59,1.32,0.7,29,9.8,1.838,0.294,1.113,1
03849,INF FORMU  ME JOHNS  ENFAM  ENFA LIP  W/IRO  POW  W/AR/AN DH,2.5,514,12.5,27,1.5,56,0,51,590,8.9,39,330,565,173,6.2,0.59,,14.6,79,0.2,0.99,9.9,0.49,1.48,1580,474,9,9.8,390,41.3,11.37,10.3,5.402,16
03850,INF FORMULA  ABBOTT NUTR  SIMILAC  W/ IRON  RTF,87.79,65,1.36,3.55,0.38,6.92,0,6.9,51,1.18,4,28,69,16,0.49,0.059,0.003,1.2,5.9,0.066,0.099,0.69,0.039,0.16,197,59,1.32,1,39,5.3,1.237,1.314,0.801,2
03851,INF FORM  AB NUTR  SIMILAC  W/ IRON  LIQ CONC  NOT RECON,76.16,127,2.64,6.89,0.79,13.76,0,13.76,99,2.3,8,54,134,31,0.96,0.115,0.006,2.8,11.5,0.127,0.191,1.339,0.076,0.32,382,114,1.28,1.9,76,10.2,2.401,2.551,1.555,3
03852,INF FORMULA  MEA JOH EN PR LIPI W/ IRO PD NO RE W/ ARA & DHA,3.5,510,12.5,27,3.9,53,0,53,530,9.5,55,420,600,171,6,0.38,0.125,13.3,60,0.4,0.45,5,0.3,1.42,1420,430,6.4,7.5,300,40,11.37,10.32,5.2,0
03853,INF FORMULA  ABBOTT NUTR  SIMILAC  W/ IRON  PDR  NOT RECON,2.25,522,10.89,28.87,3.26,54.73,0,54.73,410,9.47,32,221,552,126,3.94,0.473,0.026,11.6,47.3,0.526,0.789,5.522,0.316,1.32,1577,473,5.29,7.9,316,42.1,9.873,10.491,6.396,14
03854,INFFORMULA  MEAD JOHNS ENFAMIL PROSOB LIPI LC NOTREC ARA&DHA,75.47,131,3.19,7.11,0.77,13.58,0,13.58,134,2.3,14,106,153,45,1.53,0.096,,3.6,15.3,0.102,0.115,1.283,0.077,0.38,377,113,1.16,1.9,77,10.2,2.969,2.598,1.378,0
03855,INF FORMULA  ABBOTT NUTR  SIMILAC  LO IRON  RTF,87.79,65,1.36,3.55,0.38,6.93,0,6.93,51,0.14,4,28,69,16,0.49,0.059,0.003,1.4,5.9,0.066,0.099,0.69,0.039,0.16,197,59,1.32,1,39,5.3,1.237,1.314,0.801,2
03856,INF FORMULA  ABBOTT NUTR  SIMILAC  LO IRON LIQ CONC NOT RECO,76.16,127,2.64,6.89,0.79,13.76,0,13.76,99,0.89,8,54,134,31,0.96,0.115,0.006,2.8,11.5,0.127,0.191,1.339,0.076,0.32,382,114,1.28,1.9,76,10.2,2.401,2.551,1.555,3
03857,INF FORMULA MEJOHN PROSOBE LIPI W/ IRO RE TO FE W/ ARA & DHA,88.35,64,1.64,3.5,0.4,6.11,0,6.11,69,1.18,7,54,79,23,0.79,0.05,,1.8,7.9,0.052,0.059,0.66,0.04,0.19,194,58,0.87,1,40,5.2,1.453,1.255,0.671,0
03858,INF FORMULA  ABBOTT NUTR  SIMILAC  LO IRON  PDR NOT RECON,2.25,522,10.85,28.87,3.25,54.78,0,54.7,410,3.68,32,221,552,126,3.94,0.473,0.026,11.6,47.3,0.526,0.789,5.522,0.316,1.32,1578,473,5.29,7.9,316,42.1,9.873,10.491,6.396,14
03859,INF FORMULA NESTLE GOOD START SOY W/ DHA & ARA RTF,87.5,64,1.6,3.28,0.49,7.13,0,5.68,67,1.15,7,41,74,26,0.58,0.051,,1.9,7.7,0.039,0.06,0.864,0.038,0.19,193,58,0.94,1,39,5.8,1.4,1.189,0.695,2
03860,CHILD FORMULA ABBOTT NUTR PEDIASURE RTF (FORMERLY ROSS),80.47,99,2.86,4.77,0.75,11.15,0,10.5,93,1.34,19,76,125,36,1.15,0.095,0.239,2.2,9.5,0.258,0.201,1.614,0.248,0.57,246,74,1.46,1.2,48,3.6,1.256,1.936,1.068,2
03861,INF FORM MEAD JOHN NEXT STEP PROS LIPIL PDR W/ ARA & DHA,3,480,15.6,21,3.3,57.1,0,56,920,9.5,52,620,570,171,5.7,0.36,0.24,13.3,57,0.38,0.43,4.7,0.28,1.42,1420,430,6.4,7.1,284,38,8.905,7.8,4.2,0
03864,INF FORM ME JO NEXT STEP PROSO LIPIL REATO FEED W/ ARA & DHA,86.4,67,2.14,2.91,0.46,8.09,0,7.77,128,1.31,7,85,79,23,0.79,0.05,0.033,1.8,7.9,0.052,0.059,0.66,0.04,0.19,194,58,0.6,1,40,5.2,1.242,1.078,0.573,0
03867,INF FORMULA NESTLE GOOD START SOY W/ ARA & DHA PDR,2.5,503,12.5,25.6,3.8,55.6,0,44.38,526,9,55,316,581,200,4.51,0.401,,15,60.1,0.301,0.471,6.764,0.301,1.5,1503,451,7.34,7.5,301,45.1,11,8.1,6,6
03868,INF FORMULA  MEAD JOHNSON  ENFAMIL  LACTOFREE  RTF,88.35,63,1.38,3.5,0.33,7.18,0,7.18,53,1.18,5,36,72,19,0.66,0.05,,1.8,7.9,0.052,0.092,0.66,0.04,0.19,194,58,0.87,1,40,5.2,1.495,1.291,0.689,1
03869,INF FORMULA MEAD JOHNSON ENFAMIL LACTOFREE W/ IRN PDR NOTREC,2.2,521,10.85,28,2.6,57,0,57,430,9.4,42,290,580,156,5.2,0.39,,14.6,62,0.42,0.13,5.2,0.31,1.56,1567,470,6.9,7.8,310,42,12.02,10.43,5.26,8
03870,CHI FORMU ABBT NUTR PEDIASU RTF W/ IRON & FIB (FORMER ROSS),80.47,99,2.8,4.7,0.75,11.28,0.5,7.6,92,1.32,19,80,124,36,0.56,0.106,0.144,3,9.6,0.256,0.2,0.96,0.248,0.56,152,46,1.46,1.2,48,5.6,1.256,1.936,1.067,2
03900,INF FORMULA NESTLE GOOD START 2 ESSENTIALS W/ IRON RTF,86.6,65,1.7,2.7,0.47,8.54,0,6.19,78,1.2,5,52,88,25,0.52,0.055,,1.3,5.9,0.052,0.091,0.65,0.042,0.16,163,48,0.91,1.1,43,5.2,1.18,0.87,0.6,1
03901,INF FORMULA  NE GOO STAR 2 ESSENT W/ IRON LIQ CONC NOT RECON,74.2,125,3.25,5.13,0.93,16.5,0,11.9,150,2.25,10,100,169,49,1,0.106,,2.5,11,0.1,0.175,1.25,0.081,0.31,313,98,1.75,2,82,10,2.213,1.582,1.213,2
03913,INF FORMULA NESTLE GOOD START 2 ESSENTIALS W/ IRON PDR,2.5,471,12.2,19.3,3.77,62.23,0,44.3,565,8.5,38,377,636,184,4,0.4,,9.4,42,0.377,0.659,4.71,0.306,1.2,1178,354,6.6,7.7,309,38,8.54,6.23,4.31,6
03925,INF FORMULA NESTLE GOOD START ESSENTIALS SOY W/ IRON RTF,87.5,65,1.63,3.3,0.4,7.17,0,5.69,68,1.25,7,41,75,23,0.6,0.078,,1.6,7.8,0.039,0.061,0.845,0.039,0.2,167,50,0.95,1,40,5.2,1.4,1,0.8,0
03926,INF FORM NEST GOOD START ESSENT SOY W/ IRON LIQ CON NOT RECO,75.4,128,3.2,6.5,0.8,14.1,0,11.2,133,2.29,14,80,146,46,1.14,0.152,,2.5,15.2,0.076,0.119,1.65,0
